First Author and Year ,Chloropleth Map / Heatmap,Ball and Stake / Mesh,Isosurface / Streamlines,Volume / Images,Color,Label,Line Chart,Histogram,Scatterplot,Box-and-Whiskers,Node-link Diagram / Graph,Dendrogram,Scatterplot Matrix,Parallel Coordinate Plot,Glyph,Starplot,TreeMap
Blaas-2007,,,,X,X,,,X,X,,,,,,,,
Krekel-2010,X,X,,,X,,,,X,,,,,X,,,
Mlejnek-2006,X,X,X,,X,,X,,,,,,,,,,
Oeltze-2006,X,,X,X,X,,X,,,,,,,,,,
Wang 2006,,,,X,X,,,,,,,,,,,,X
Oeltze 2007,X,,,X,X,,,X,,,,,X,,,,
Cipriano 2008,,,X,,,X,,,,,,,,,,,
Keefe 2009,,X,,,X,,X,,,,,,,X,,,
Chen 2009,,,,X,X,,,X,X,,,,,,,,
Jianu 2009,X,,,X,X,,,,X,,,X,,,,,
Maries 2013,,,,X,X,X,,,,,,X,,,,X,
Schroeder 2014,,X,,,X,,,,,X,X,,,,,,
Palmas-2014,,X,,X,X,,,X,X,,,,,,,,
Klemm 2014,,X,,,X,,,,X,X,,,X,X,,,
Mistelbauer 2012,,,,X,X,X,,,,,,,,,X,,
Raidou 2015,X,,,X,X,X,,,,X,,,X,X,,,
Ding-2015,,,,X,X,,,,,,X,,,,,,
Pretorius-2015,,,,X,X,,,X,,,,,X,X,,,