First Author and Year ,Chloropleth Map / Heatmap,Ball and Stake / Mesh,Isosurface / Streamlines,Volume / Images,Glyph,Animation,Color,Label,Bar Chart,Line Chart,Sequence,Pie Chart,Histogram,Scatterplot,Box-Plot,Graph-Based,SPLOM,PCP,Star-Plot,TreeMap
Blaas-2007,,,,X,,,,,,,,,X,X,,,,,,
Krekel-20X0,X,X,,,,,,,,,,,,X,,,,X,,
Mlejnek-2006,X,X,X,,,,,,,X,,,,,,,,,,
Oeltze-2006,X,,X,X,,,,,,X,,,,,,,,,,
Wang 2006,,,,X,,,,,,,,,,,,,,,,X
Oeltze 2007,X,,,X,,,,,,,,,X,,,,X,,,
Cipriano 2008,,,X,,,,,X,,,,,,,,,,,,
Keefe 2009,,X,,,,,,,,X,,,,,,,,X,,
Chen 2009,,,,X,,,,,,,,,X,X,,,,,,
Jianu 2009,X,,,X,,,,,,,,,,X,,X,,,,
Maries 20X3,,,,X,X,,,X,,,,,,,,X,,,,
Schroeder 20X4,,X,,,,,,,,,,,,,X,X,,,,
Palmas-20X4,,X,,X,,,,,,,,,X,X,,,,,,
Klemm 20X4,,X,,,,,,,,,,,,X,X,,X,X,,
Mistelbauer 20X2,,,,X,,,,X,,,,,,,,,,,,
Raidou 20X5,X,,,X,,,,X,,,,,,,X,,X,X,,
Ding-20X5,,,,X,,,,,,,,,,,,X,,,,
Pretorius-20X5,,,,X,,,,,,,,,X,,,,X,X,,
Caat-2007,,,,,,,,,,,,,,,,X,,,,
Janoos-2009,,,X,,,,,,,X,,,,,,,,,,
Beyer-2013,,,X,,,,,,,,,,X,X,,X,,,,
Nowke-2013,,,X,,,X,,,,,,,,,,X,X,,,
Al-Awami-2014,,,X,,,,,,,,,,,,,,,,,
Al-Awami-2015,,,X,,,,,,,,,,,,,X,,,,