Author and Year,Chloropleth Map/Heatmap,Ball and Stake/Mesh,Isosurface / Streamlines,Volume/Images,Glyph,Animation,Color,Label,Bar Chart,Line Chart,Sequence,Pie Chart,Histogram,Scatterplot,Box-Plot,Graph-Based,SPLOM,PCP,Star-Plot,TreeMap
Broersen-2007,X,,X,,,,X,,,,,,,,,,,,,
Molchanov-2013,X,,,X,,,,,,,,,,X,,,,,X,
Beketayev-2011,,,,,,,,,,,,,,,,X,,,,
Mehta-2006,,X,,,,,,,,,,,,,,X,,,,
Gu-2011,,,,X,,,,,,,,,,,,X,,,,
Liu-2015,,,X,X,,,,,,,,,,,,X,,X,,
Shi-2006,,,X,,,,,,,,,,,,,X,,,,
Nouanesengsy-2014,X,,,,,,,,,,,,,,,X,,,,
Gu-2015,,,,X,,,,,,,,,X,,,X,,,,
Theron-2006,X,,,,,X,,,,X,,,,X,,,,X,,
Ganuza-2014,,,,,X,,,,,,,,,X,,,,X,,
Chaudhuri-2014,X,,X,,,,,,,,,,X,,,,,X,,
Blass 2008,,,X,,,,,,,,,,X,,,,,X,,
Akiba-2007,,,X,X,,,,,,,,,X,,,,,X,,
Wong-2014,X,,X,X,,,,,,,,,X,X,,X,,X,,
Reh-2012,X,X,,X,,,,,,,,,,,,,,X,,
Wang-2008,X,,,X,,X,,,,,,,X,,,,,,,
Martin-2011,,,,X,,,,,,,,,X,,,,,,,
Caban-2007,,,X,X,,X,X,,,,,,,,,,,,,
Liu-2014,,,,X,,X,X,,,,,,,,,,,,,
Li-2007,X,X,,,X,,X,,,,,,,,,,,,,
Akiba-2006,,,,X,,,,,,,,,X,,,,,,,
Lipsa-2011,,,X,X,,,,,,,,,X,,,,,,,
Neuroth-2015,,,X,,,X,,,,,,,X,,,,,,,
Valle-2008,X,X,,,,,,,,X,,,,X,,,,,,
Lampe-2009,X,,X,X,,,,,,X,,,,,,,,,,
Bennett-2011,,,,X,,,,,,X,,,X,,,,,,,
Guo 2015,,X,X,,,,,,,X,,,,,,X,,,,
Schneider-2008,,,X,,,,,,,,,,,,,X,,,,
McLendon-2012,,,,X,,,,,,,,,,,,X,,,,
Widanagamaachchi-2012,,,,X,,,,,,,,,,,,X,,,,
Widanagamaachchi-2015,,,,X,,,,,,,,,,,,X,,,,
Anderson-2007,X,,,X,,,X,,,,,,,,,,,,,
Anderson-2009,X,,,,,,X,,,,,,,,,,,,,
Chen 2015,X,X,X,,,,X,,,,,,,,,,,,,
Seipel-2006,,X,,,,,X,,,,,,,,,,,,,
Schultz-2010,,,,,X,,X,,,,,,,,,,,,,
Bruckner-2010,X,,,X,,X,,,,,,,,,,,,X,,
Sorger-2015,,X,,,,,,,,,,,X,,,X,,X,,
Beham-2014,,X,,,X,,,,,,,,,,,X,,X,,
Kurzhals-2013,,X,,,,X,,,,,,,X,,,X,,,,