,Volume,Isosurface,Geometric Flow,PCP,Color,Histogram,Scatterplot,Tree map,Tree,3D Geomoetry,Matrix,2D Plots,Maps,Novel,Glyph,Animation,Timeline / Time Slider / 1D sliders,Small Multiples,Node-link Diagram / Graph,Heatmap,Table,Star Coordinates,Gantt Charts,Line Chart,Pie Chart,Stream Graph,Tag Cloud,Box Plot
Andrienko-2007 (published in Journay 2008),,,,,X,X,,,,,X,,X,,,,,,,,,,X,,,,,
Andrienko-2010(EuroVis),,,,,X,X,,,,,X,,X,,,,X,,,,,,,,,,,
Andrienko-2010(VAST),,,,,X,,,,,,,,X,,,,X,,,,,,,X,,,,
Bertini-2007,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,
Butkiewicz-2008,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,
Butkiewicz-2010,,,,,X,,,,,,,X,X,,,,,,,,,,,X,X,,,
Eccles-2007 (published in Journay 2008),,,,,X,,,,,X,,,X,,,,,,,,,,,,,,,
Eick-2007,,,,,X,X,,,X,,,X,X,,X,,X,,X,,X,,,X,X,,,
Han-2009,,,,X,X,,,,,,,,X,,,,,,,X,,,,,,,,
Kapler-2008,,,,,X,,,,,X,,,X,,X,,,,X,,,,,,,,,
Maciejewski-2007,,,,,X,,,,,,,,X,,X,,X,,,,,,,X,,,,
Maciejewski-2008,,,,,X,,,,,,,,X,,,,X,,,X,,,,X,,,,
Pan-2007,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,
Quan-2009,,,,X,X,,,,,,,,X,,X,,X,,,,,,,,,,,
Wang-2008,,,,,X,,,,,,,,X,,,,,,,,X,,,,,X,,
Weaver-2006,,,,,X,X,,,,,X,,X,,,,Arc Diagram,,,,X,,,,,,,
Weaver-2008,,,,,X,X,,,,,X,X,X,,,,X,,X,,,,,,,,,
Kothur 2014,,,,,X,X,,,,,,,X,,,,,,,X,,,,X,,,,X
Lu 2015,,,,,X,,,,,,,,X,,,,X,,,X,,,,,X,,X,
Chen 2011,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,
Cenydd 2011,,,,,X,,,,,,,,X,,,,,,,X,,,,,,X,X,
Bosch 2011,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,X,
Boone 2011,,,,,X,,,,,,,,X,,X,,,,,,,,,,,,,
Banfi 2011,,,,,X,,,,,,,,X,,,,,,,,,,,,,,X,
Rothenberger 2011,,,,,X,,,,,,,,X,,Pexels,,,,,,,,,,,,,
Peca 2011,,,,,X,X,,,,,,,X,,,,,,,,,,,X,,,,
Hao 2011,,,,,X,,X,,,,,,X,,,,,X,,X,,,,,,,,
MacEachren 2011,,,,,X,,,,,,,,X,,,,X,,,X,,,,,,,,
Alam 2015,,,,,X,,,,,,,,Cartogram,,,,,,,,,,,,,,,
Cano 2015,,,,,X,,,,,,,,Cartogram,,,,,,,,,,,,,,,
Diehl 2015,,,,,X,,,,,,,,X,,,,X,,,X,,,,,,,,
Mahsa Mirzargar 2014,,,,,X,,,,,,,X,X,,,,,,,,,,,,,,,
Florian Ferstl 2015,,,X,,X,,,,,,,,X,,,,,,,,,,,,,,,
Panse-2006,,,,,X,,,,,,,X,Cartogram,,,,,,,,,,,,,,,
Chang-2007,,,,X,X,X,,,,,,,X,,,,,,,,,,,,,,,
eerily similar to above,,,,X,X,,,,,,,X,X,,,,,,,X,,,,X,,,,
Guo-2009,,,,X,X,,,,,,,,X,,,,,,,,X,,,,,,,
Turkay-2014,,,,,X,,,,,,,,X,,,,,X,,,,,,X,,,,
Lanir 2014,,,,,,,,,,,,,X,,Tangrams,,,,,,,,,,,,,
Pike-2008,,,,,X,,,,,,,Clusters,X,,,,X,,X,,,,,X,,,,
Tomaszewski-2010,,,,,X,,X,,,,,X,X,,,,X,,,,,,,,,,,
Mehler-2006,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,
Dykes-2007,,,,,X,,,,,,,,X,Scalograms,,,,,,X,,,,,,,,X
Dork-2008,,,,,,X,,,,,,,X,,,,X,,,,,,,,,,X,
Speckman-2010,,,,,,,,,,,,,X,Necklace Maps,,,,,,,,,,,,,,
Ferreira-2011,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,X,
Accorsi 2014,,,,,,,,,,,,Clusters,X,,,,,,X,,X,,,,,,,
Afzal-2012,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,
Lins-2013,,,,X,X,X,X,,,,,,X,,,,X,,,X,,,,,,,,